annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022526;20/09/2022;soir;20/11/2022;1;4;9;12;16;19;26;27;29;31;33;35;41;43;49;60;62;63;64;66;3;3 375 564;eur;
2022525;20/09/2022;midi;20/11/2022;1;14;16;18;27;32;33;40;41;42;43;44;45;46;47;52;54;58;67;68;2;9 558 118;eur;
2022524;19/09/2022;soir;19/11/2022;7;8;10;15;21;23;24;26;32;36;40;47;51;52;53;54;60;63;68;70;2;8 186 908;eur;
2022523;19/09/2022;midi;19/11/2022;2;3;4;9;13;15;17;23;24;26;34;35;36;38;48;59;60;64;68;70;3;3 187 915;eur;
2022522;18/09/2022;soir;18/11/2022;1;3;9;13;18;25;30;33;37;41;43;46;50;53;56;57;61;63;69;70;2;4 200 996;eur;
2022521;18/09/2022;midi;18/11/2022;5;8;12;15;16;21;22;23;26;29;32;33;34;43;48;50;52;59;60;69;3;8 874 048;eur;
2022520;17/09/2022;soir;17/11/2022;4;5;7;9;10;12;13;14;23;24;36;44;45;51;55;57;64;68;69;70;2;4 395 503;eur;
2022519;17/09/2022;midi;17/11/2022;3;8;9;10;14;16;21;26;28;30;35;40;42;48;49;63;64;65;69;70;2;5 512 731;eur;
2022518;16/09/2022;soir;16/11/2022;3;4;5;6;9;11;12;28;33;36;41;43;46;53;59;60;61;67;68;70;2;4 781 775;eur;
2022517;16/09/2022;midi;16/11/2022;1;8;9;10;11;12;20;29;31;34;36;43;44;46;48;57;63;64;65;69;3;9 709 736;eur;
2022516;15/09/2022;soir;15/11/2022;3;6;10;15;18;25;26;28;29;31;32;35;36;37;46;48;52;61;63;70;2;3 190 835;eur;
2022515;15/09/2022;midi;15/11/2022;1;4;5;9;10;14;17;26;30;31;34;36;42;43;44;51;52;64;65;70;3;5 506 092;eur;
2022514;14/09/2022;soir;14/11/2022;1;4;18;19;21;22;23;24;27;28;31;36;42;45;50;59;62;63;66;68;2;0 597 613;eur;
2022513;14/09/2022;midi;14/11/2022;1;3;4;7;9;14;15;17;20;24;32;36;38;41;44;45;48;59;61;64;2;5 057 872;eur;
2022512;13/09/2022;soir;13/11/2022;4;13;24;26;35;36;38;42;43;44;47;50;52;53;54;56;57;61;62;70;3;2 968 911;eur;
2022511;13/09/2022;midi;13/11/2022;1;4;11;12;15;20;23;24;28;31;32;33;44;48;55;60;62;63;66;68;2;9 454 759;eur;
2022510;12/09/2022;soir;12/11/2022;3;8;9;11;12;13;23;25;34;46;47;48;50;51;52;59;61;64;65;69;2;2 957 496;eur;
2022509;12/09/2022;midi;12/11/2022;1;5;10;12;16;17;24;25;27;28;37;44;47;58;59;60;63;65;66;67;2;5 310 680;eur;
2022508;11/09/2022;soir;11/11/2022;3;7;9;13;14;21;23;24;26;29;31;45;46;49;50;51;52;55;57;59;2;4 783 052;eur;
2022507;11/09/2022;midi;11/11/2022;3;7;8;9;10;23;27;35;38;39;40;43;45;46;48;50;55;58;61;63;3;2 857 289;eur;
2022506;10/09/2022;soir;10/11/2022;1;3;4;5;14;16;20;21;24;30;35;37;38;40;43;46;50;57;67;68;2;7 965 547;eur;
2022505;10/09/2022;midi;10/11/2022;1;6;7;8;17;22;23;24;25;29;33;38;41;48;51;54;60;61;65;66;2;4 517 905;eur;
2022504;09/09/2022;soir;09/11/2022;2;10;13;15;17;18;19;20;23;24;29;30;39;43;46;47;55;64;66;69;2;6 932 373;eur;
2022503;09/09/2022;midi;09/11/2022;5;7;10;11;14;26;27;31;32;34;43;47;51;54;58;59;64;65;66;69;5;2 015 776;eur;
2022502;08/09/2022;soir;08/11/2022;5;8;10;12;16;17;20;29;34;35;36;39;42;43;52;53;54;56;57;64;3;6 117 790;eur;
2022501;08/09/2022;midi;08/11/2022;3;10;12;13;16;18;23;24;25;26;27;29;37;38;46;49;54;55;56;58;2;6 094 493;eur;
2022500;07/09/2022;soir;07/11/2022;3;7;9;13;19;24;28;29;30;34;36;41;45;52;53;58;60;64;67;70;2;3 479 521;eur;
2022499;07/09/2022;midi;07/11/2022;1;2;4;7;11;20;21;23;26;27;29;40;51;52;58;59;60;62;63;68;2;5 996 718;eur;
2022498;06/09/2022;soir;06/11/2022;4;8;9;10;14;15;17;22;28;32;33;42;45;48;49;50;52;53;58;68;2;8 673 301;eur;
2022497;06/09/2022;midi;06/11/2022;1;2;6;15;17;22;25;27;28;31;33;43;44;45;53;54;55;59;62;69;2;1 594 427;eur;
2022496;05/09/2022;soir;05/11/2022;5;6;7;15;16;17;18;22;28;29;33;37;38;43;44;48;50;51;59;70;3;4 178 429;eur;
2022495;05/09/2022;midi;05/11/2022;3;6;11;15;22;25;33;35;39;40;45;51;54;56;57;59;62;64;65;68;3;7 319 905;eur;
2022494;04/09/2022;soir;04/11/2022;1;7;16;22;23;25;29;32;34;40;46;47;51;52;55;58;62;65;68;70;2;3 744 196;eur;
2022493;04/09/2022;midi;04/11/2022;3;9;18;21;23;28;29;35;38;40;44;49;51;54;55;62;63;64;68;70;3;2 530 535;eur;
2022492;03/09/2022;soir;03/11/2022;5;8;9;10;12;13;17;27;32;33;36;41;47;50;51;55;56;62;65;67;2;3 924 934;eur;
2022491;03/09/2022;midi;03/11/2022;1;3;6;17;19;21;25;27;28;29;31;32;34;41;49;53;61;62;66;67;2;2 952 780;eur;
2022490;02/09/2022;soir;02/11/2022;2;4;6;10;12;17;18;23;33;34;35;37;38;42;45;50;51;56;57;60;5;5 577 464;eur;
2022489;02/09/2022;midi;02/11/2022;5;10;11;13;26;32;33;34;36;37;40;42;45;49;55;59;60;61;62;70;2;6 105 843;eur;
2022488;01/09/2022;soir;01/11/2022;3;5;10;15;21;24;29;30;31;36;39;41;44;47;50;51;53;54;57;62;5;5 194 804;eur;
2022487;01/09/2022;midi;01/11/2022;1;4;6;16;20;23;24;26;28;30;35;37;39;43;47;50;57;58;61;68;2;1 804 641;eur;
2022486;31/08/2022;soir;31/10/2022;3;7;12;20;21;24;28;29;34;36;39;45;47;57;58;59;64;68;69;70;2;5 909 161;eur;
2022485;31/08/2022;midi;31/10/2022;3;6;9;10;12;13;16;17;25;28;33;35;37;38;39;46;52;57;63;68;2;7 092 141;eur;
2022484;30/08/2022;soir;30/10/2022;9;13;15;17;18;19;22;27;30;34;39;47;50;52;57;59;60;62;63;70;3;8 588 147;eur;
2022483;30/08/2022;midi;30/10/2022;1;8;9;22;24;28;36;41;43;46;47;49;50;52;54;56;60;65;68;70;2;1 977 717;eur;
2022482;29/08/2022;soir;29/10/2022;3;5;10;16;17;23;24;26;31;34;38;40;41;48;51;53;54;55;57;60;2;7 281 304;eur;
2022481;29/08/2022;midi;29/10/2022;2;3;11;13;14;15;16;23;24;27;39;40;44;45;50;56;57;60;61;69;2;1 685 118;eur;
2022480;28/08/2022;soir;28/10/2022;2;4;6;15;18;22;26;27;34;36;39;43;44;47;48;51;54;56;61;66;2;2 490 071;eur;
2022479;28/08/2022;midi;28/10/2022;5;6;9;11;17;21;26;27;29;30;32;33;34;37;44;49;57;66;67;68;2;3 918 679;eur;
2022478;27/08/2022;soir;27/10/2022;2;5;8;14;15;18;19;21;22;23;34;37;38;43;46;47;59;61;63;65;3;5 598 203;eur;
2022477;27/08/2022;midi;27/10/2022;3;4;9;10;13;18;19;24;25;33;37;41;44;46;52;53;60;63;65;69;2;7 643 165;eur;
2022476;26/08/2022;soir;26/10/2022;1;2;5;8;15;21;22;23;32;33;34;43;48;54;56;60;61;66;67;69;2;1 817 092;eur;
2022475;26/08/2022;midi;26/10/2022;3;6;8;13;16;22;29;30;31;32;37;44;47;54;56;58;59;60;64;68;2;4 961 234;eur;
2022474;25/08/2022;soir;25/10/2022;2;3;5;19;20;30;31;34;37;43;44;48;49;53;54;55;56;58;61;67;2;5 899 942;eur;
2022473;25/08/2022;midi;25/10/2022;5;6;7;9;16;20;27;29;33;35;36;37;38;43;47;50;56;63;64;68;2;5 500 266;eur;
2022472;24/08/2022;soir;24/10/2022;2;4;6;7;9;14;16;20;21;24;26;34;43;44;48;51;53;61;64;66;3;6 188 277;eur;
2022471;24/08/2022;midi;24/10/2022;3;4;6;7;8;9;12;18;23;26;27;31;37;41;47;49;51;59;66;67;2;3 968 635;eur;
